LawID,SubLawID,CategoryNumber,MainCategory,SecondaryCategory,SubCategories,URI,LegislatorID,LegislatorName,LegislatorTitle,LegislatorReligion,LegislatorRuleBegin,LegislatorRuleEnd,TerID,TerShortLabel,TerSeq,TerLabel,TerOrg,TerOrgID,TerType1,TerType2,TerReligion,TerDistrict,TerPublished,TerEditor,TerLitList,TerAbbrevList,TerPreface,Datum,Date1,Date,Year,Month,Day,Form,Scope,RelatesTo,Publication,Archive,Title,Facs,URL,Matters,Dirty,Controlled,Links
ZUR.01.001.0806,ZUR.01.001.0806.05102.0,3.2,Sozialwesen,Waisen,Erziehung,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,1,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1463.08.25,,1463-08-25,1463,8,25,Verordnung,,,,"StAZ, A 42.2",,,,"(ZUR.01.001.0806.05102.0,,3.2,Sozialwesen,,Waisen,,,,,Erziehung,,,,,,),(ZUR.01.001.0806.05103.0,,4.6,Handel und Dienstleistungen,,Handelsbedingungen,,,,,Tuch; Wolle,,,,,,),(ZUR.01.001.0806.02893.0,,4.7,Geld- und Kreditwesen,,Münzwesen,,,,,Münzfuß,,,,,,)",,,
ZUR.01.001.0806,ZUR.01.001.0806.05103.0,4.6,Handel und Dienstleistungen,Handelsbedingungen,Tuch; Wolle,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,1,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1463.08.25,,1463-08-25,1463,8,25,Verordnung,,,,"StAZ, A 42.2",,,,"(ZUR.01.001.0806.05102.0,,3.2,Sozialwesen,,Waisen,,,,,Erziehung,,,,,,),(ZUR.01.001.0806.05103.0,,4.6,Handel und Dienstleistungen,,Handelsbedingungen,,,,,Tuch; Wolle,,,,,,),(ZUR.01.001.0806.02893.0,,4.7,Geld- und Kreditwesen,,Münzwesen,,,,,Münzfuß,,,,,,)",,,
ZUR.01.001.0806,ZUR.01.001.0806.02893.0,4.7,Geld- und Kreditwesen,Münzwesen,Münzfuß,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,1,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1463.08.25,,1463-08-25,1463,8,25,Verordnung,,,,"StAZ, A 42.2",,,,"(ZUR.01.001.0806.05102.0,,3.2,Sozialwesen,,Waisen,,,,,Erziehung,,,,,,),(ZUR.01.001.0806.05103.0,,4.6,Handel und Dienstleistungen,,Handelsbedingungen,,,,,Tuch; Wolle,,,,,,),(ZUR.01.001.0806.02893.0,,4.7,Geld- und Kreditwesen,,Münzwesen,,,,,Münzfuß,,,,,,)",,,
