LawID,SubLawID,CategoryNumber,MainCategory,SecondaryCategory,SubCategories,Datum,Date1,Date,Year,Month,Day,Archive
BER.01.001.3706,BER.01.001.3706.04714.0,1.3,Randgruppen,Fahrende Leute,Streifen,1735.03.17,,1735-03-17,1735,3,17,"StAB, A I 495, S. 70 f."
BER.01.001.3710,BER.01.001.3710.04719.0,1.3,Randgruppen,Fahrende Leute,Aufsicht; Landesverweisung,1735.03.31,,1735-03-31,1735,3,31,"StAB, A I 495, S. 83 f."
BER.01.001.3713,BER.01.001.3713.04722.0,1.3,Randgruppen,Fahrende Leute,Unterhaltungskünstler; Spielleute; Musiker; Narren; Reimsprecher; Tänzerinnen; Landesverweisung,1735.08.30,,1735-08-30,1735,8,30,"StAB, A I 495, S. 102 f."
BER.01.001.3717,BER.01.001.3717.04726.0,1.3,Randgruppen,Fahrende Leute,Streifen,1735.11.10,,1735-11-10,1735,11,10,"StAB, A I 495, S. 113"
BER.01.001.3723,BER.01.001.3723.04732.0,1.3,Randgruppen,Fahrende Leute,Aufsicht; Bettelverbot,1736.03.10,,1736-03-10,1736,3,10,"StAB, A I 495, S. 144 f."
BER.01.001.3726,BER.01.001.3726.04735.0,1.3,Randgruppen,Fahrende Leute,Streifen,1736.05.04,,1736-05-04,1736,5,4,"StAB, A I 495, S. 156"
BER.01.001.3732,BER.01.001.3732.04742.0,1.3,Randgruppen,Fahrende Leute,Streifen,1736.12.13,,1736-12-13,1736,12,13,"StAB, A I 495, S. 192 f."
BER.01.001.3741,BER.01.001.3741.04754.0,1.3,Randgruppen,Fahrende Leute,Streifen,1737.08.21,,1737-08-21,1737,8,21,"StAB, A I 495, S. 245"
BER.01.001.3745,BER.01.001.3745.04758.0,1.3,Randgruppen,Fahrende Leute,Bettelverbot; Durchzug; Grenzkontrolle,1738.04.10,,1738-04-10,1738,4,10,"StAB, A I 495, S. 290 f."
BER.01.001.3747,BER.01.001.3747.04762.0,1.3,Randgruppen,Fahrende Leute,Einreiseverbot; Grenzkontrolle; Landesverweisung,1738.04.10,,1738-04-10,1738,4,10,"StAB, A I 495, S. 293 f."
BER.01.001.3750,BER.01.001.3750.04766.0,1.3,Randgruppen,Fahrende Leute,Bettelfuhren; Pässe; Paßkontrolle; Streifen; Aufsicht,1738.08.22,,1738-08-22,1738,8,22,"StAB, A I 495, S. 308-311"
BER.01.001.3754,BER.01.001.3754.04775.0,1.3,Randgruppen,Fahrende Leute,Pässe; Landesverweisung,1738.09.19,,1738-09-19,1738,9,19,"StAB, A I 495, S. 334-336"
