LawID,URI,LegislatorID,LegislatorName,LegislatorTitle,LegislatorReligion,LegislatorRuleBegin,LegislatorRuleEnd,TerID,TerShortLabel,TerSeq,TerLabel,TerOrg,TerOrgID,TerType1,TerType2,TerReligion,TerDistrict,TerPublished,TerEditor,TerLitList,TerAbbrevList,TerPreface,Datum,Date1,Date,Year,Month,Day,Form,Scope,RelatesTo,Publication,Archive,Title,Facs,URL,Matters,Dirty,Controlled,Links
ZUR.01.001.1816,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1551.11.07,,1551-11-07,1551,11,7,Verordnung,,,,"StAZ, A 42.3",,,,"(ZUR.01.001.1816.04603.0,,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,,Müßiggang,,,,,Gaststättenbesuch,,,,,,),(ZUR.01.001.1816.04602.0,,3.2,Sozialwesen,,Armenwesen,,,,,Almosenverteilung; Aufsicht; Kirche; Rechnungswesen,,,,,,),(ZUR.01.001.1816.04604.0,,4.6,Handel und Dienstleistungen,,Bewirtung/Gaststätten,,,,,Alkoholausschank; Almosenempfänger; Kredite; Verbot,,,,,,)",,,
ZUR.01.001.1817,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1551.12.06,,1551-12-06,1551,12,6,Verordnung,,,,"StAZ, A 42.3 & B III 7a",Verpott Reysslouffens.,,,"(ZUR.01.001.1817.04605.0,,2.2,Öffentliche Sicherheit; Kriminalität,,Kriegslauf/Kriegsdienst,,,,,Verbot,,,,,,),(ZUR.01.001.1817.04606.0,,2.2,Öffentliche Sicherheit; Kriminalität,,Militär/Soldaten,,,,,Sicherheitsmaßnahmen; Werber; Werbungsverbot,,,,,,)",,,
ZUR.01.001.1493,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1552.02.28,,1552-02-28,1552,2,28,Ordnung,,,,"StAZ, B III 7a & A 42.2",,,,"(ZUR.01.001.1493.04007.0,,1.1,Religionsangelegenheiten,,Sonntagsheiligung,,,,,Gottesdienstgang; Sonntagsarbeit,,,,,,),(ZUR.01.001.1493.04011.0,,1.4,Aufwand und Luxus,,Aufwand,,,,,Spenden; Kuchen,,,,,,),(ZUR.01.001.1493.04010.0,,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,,Tanzen,,,,,Fastnacht; Grober Unfug; Mummenschanz,,,,,,),(ZUR.01.001.1493.04010.1,,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,,Umzüge/Feste,,,,,Fastnacht; Grober Unfug; Mummenschanz,,,,,,),(ZUR.01.001.1493.04009.0,,2.2,Öffentliche Sicherheit; Kriminalität,,Eigentumsschutz,,,,,Diebstahl,,,,,,),(ZUR.01.001.1493.04008.0,,4.6,Handel und Dienstleistungen,,Fürkauf,,,,,Verbot; Getreide; Vereinheitlichung; Holz,,,,,,),(ZUR.01.001.1493.04008.1,,4.6,Handel und Dienstleistungen,,Maße & Gewichte,,,,,Verbot; Getreide; Vereinheitlichung; Holz,,,,,,),(ZUR.01.001.1493.04008.2,,4.6,Handel und Dienstleistungen,,Preiskontrolle,,,,,Verbot; Getreide; Vereinheitlichung; Holz,,,,,,)",,,
ZUR.01.001.1494,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1552.03.06,,1552-03-06,1552,3,6,Verordnung,,,,"StAZ, B III 7a & A 42.3",,,,"(ZUR.01.001.1494.04015.0,,2.1,Vergnügungen; Öffentliche Leichtfertigkeit,,Grober Unfug,,,,,Sachbeschädigung,,,,,,),(ZUR.01.001.1494.04012.0,,2.2,Öffentliche Sicherheit; Kriminalität,,Waffenführung,,,,,Schießverbot,,,,,,),(ZUR.01.001.1494.04014.0,,4.1,Landwirtschaft,,Tierhaltung/Tiernutzung,,,,,Aufsicht,,,,,,),(ZUR.01.001.1494.04017.0,,4.2,Forst- und Bodennutzung,,Fischfang,,,,,Fangzeiten,,,,,,)",,,
ZUR.01.001.1521,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1552.03.07,,1552-03-07,1552,3,7,Verordnung,,,,"StAZ, A 42.3",,,,"(ZUR.01.001.1521.04065.0,,2.2,Öffentliche Sicherheit; Kriminalität,,Sicherung Stadt/Land,,,,,Licht,,,,,,),(ZUR.01.001.1521.04062.0,,4.2,Forst- und Bodennutzung,,Fischfang,,,,,Fangzeiten,,,,,,)",,,
ZUR.01.001.1495,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1552.03.20,,1552-03-20,1552,3,20,Verordnung,,,,"StAZ, B III 7a",Sylholtzes halb.,,,"(ZUR.01.001.1495.04016.0,,4.2,Forst- und Bodennutzung,,Forst,,,,,Transport; Flößerei,,,,,,)",,,
ZUR.01.001.1497,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1552.06.16,,1552-06-16,1552,6,16,Verordnung,,,,"StAZ, B III 7a",Verpott des Wümmens.,,,"(ZUR.01.001.1497.04019.0,,4.1,Landwirtschaft,,Weinbau,,,,,Ernteordnung,,,,,,)",,,
ZUR.01.001.1496,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1552.08.21,,1552-08-21,1552,8,21,Verordnung,,,,"StAZ, B III 7a",,,,"(ZUR.01.001.1496.04018.2,,4.1,Landwirtschaft,,Frevel,,,,,Trauben; Verkauf; Aufsicht; Bäume; Alleenbäume; Obstbäume; Sträucher; Flurschäden,,,,,,),(ZUR.01.001.1496.04018.1,,4.1,Landwirtschaft,,Tierhaltung/Tiernutzung,,,,,Trauben; Verkauf; Aufsicht; Bäume; Alleenbäume; Obstbäume; Sträucher; Flurschäden,,,,,,),(ZUR.01.001.1496.04018.0,,4.1,Landwirtschaft,,Weinbau,,,,,Trauben; Verkauf; Aufsicht; Bäume; Alleenbäume; Obstbäume; Sträucher; Flurschäden,,,,,,)",,,
ZUR.01.001.1522,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1552.08.21,,1552-08-21,1552,8,21,Verordnung,,,,"StAZ, A 42.3",,,,"(ZUR.01.001.1522.04632.0,,4.1,Landwirtschaft,,Frevel,,,,,Weinberg; Obstbäume,,,,,,),(ZUR.01.001.1522.04066.0,,4.1,Landwirtschaft,,Weinbau,,,,,Trauben; Verkauf,,,,,,)",,,
ZUR.01.001.1531,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1552.09.11,,1552-09-11,1552,9,11,Verordnung,,,,"StAZ, A 42.3",,,,"(ZUR.01.001.1531.04084.0,,4.1,Landwirtschaft,,Ernteordnung/Feudalabgaben,,,,,Wein,,,,,,)",,,
ZUR.01.001.1498,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1552.10.23,,1552-10-23,1552,10,23,Verordnung,,,,"StAZ, B III 7a","Das man die Kernen unnd Habervyertheyll, unnd ouch die Wyngschir fechten lassenn sölle.",,,"(ZUR.01.001.1498.04020.0,,4.6,Handel und Dienstleistungen,,Maße & Gewichte,,,,,Getreide; Hohlmaße,,,,,,)",,,
ZUR.01.001.1504,,ZUR.01.001,Bürgermeister und Kleiner und Großer Rat der Stadt Zürich,,EV,1336,1798,ZUR,ZUR,01,Zürich,Schweizer Eidgenossenschaft,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1553.00.00,,,1553,0,0,Verordnung,,,,"StAZ, B III 7a",,,,"(ZUR.01.001.1504.04033.0,,2.2,Öffentliche Sicherheit; Kriminalität,,Eigentumsschutz,,,,,Diebstahl,,,,Diese Verordnung ist nicht datiert.,,),(ZUR.01.001.1504.04032.0,,4.2,Forst- und Bodennutzung,,Forst,,,,,Transport; Flößerei,,,,Diese Verordnung ist nicht datiert.,,),(ZUR.01.001.1504.04031.0,,4.6,Handel und Dienstleistungen,,Maße & Gewichte,,,,,Aufsicht; Holz,,,,Diese Verordnung ist nicht datiert.,,)",,,
